OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valB,valL,valR
1516012,63736043273235,0.08807066,1.776749,0.6981903,0.03327339,-0.1758567,-0.02422933,0.983555,-0.01546178,-0.0001666107,-0.02758438,-0.1502228,-0.001190186,0.9886475,0.03353108,-0.002040497,-0.02550166,0.03353108,-0.002040497,-0.02550166,-0.1465912,0.003692627,0.9891815,-0.1465912,0.003692627,0.9891815,True,True,True
1516021,63736043273249,29.70845,4.860492,-16.62416,0.03497991,-0.177389,-0.02411216,0.9832234,-0.01550449,-0.000146698,-0.02762555,-0.1435089,0.01277161,0.989563,0.03351694,-0.002051941,-0.02544173,0.03351694,-0.002051941,-0.02544173,-0.1398621,0.003311157,0.9901581,-0.1398621,0.003311157,0.9901581,True,True,True
1516029,63736043273262,41.13842,6.050451,-23.30841,0.03573312,-0.1781533,-0.02397107,0.9830615,-0.006357972,-0.0004880524,-0.02723522,-0.1394806,0.0052948,0.9902039,0.03350003,-0.002056809,-0.02538622,0.03350003,-0.002056809,-0.02538622,-0.1452484,0.006607056,0.9893646,-0.1452484,0.006607056,0.9893646,True,True,True
1516054,63736043273276,47.48042,6.71068,-27.01733,0.03648007,-0.1785975,-0.02370609,0.9829599,0.01192952,-0.001277191,-0.026109,-0.1359711,0.004577637,0.9906921,0.03344103,-0.00216301,-0.02499622,0.03344103,-0.00216301,-0.02499622,-0.1397247,0.007385254,0.9901581,-0.1397247,0.007385254,0.9901581,True,True,True
1516062,63736043273300,57.95238,7.800903,-33.14153,0.03742108,-0.1791256,-0.02342938,0.9828351,0.01606004,-0.001429703,-0.0259232,-0.1352234,0.008163452,0.9907684,0.03342751,-0.002134171,-0.02505245,0.03342751,-0.002134171,-0.02505245,-0.1378479,0.008422852,0.9904022,-0.1378479,0.008422852,0.9904022,True,True,True
1516087,63736043273300,57.95238,7.800903,-33.14153,0.03742108,-0.1791256,-0.02342938,0.9828351,0.01534367,-0.001349793,-0.02603342,-0.1360626,0.01066589,0.9906311,0.03341228,-0.00206279,-0.0251823,0.03341228,-0.00206279,-0.0251823,-0.1376953,0.0138092,0.9903717,-0.1376953,0.0138092,0.9903717,True,True,True
1516104,63736043273323,61.00479,8.118487,-34.92661,0.03797468,-0.179269,-0.02305077,0.9827967,0.002230011,-0.0008478089,-0.02657804,-0.1286621,0.01426697,0.9915771,0.03340306,-0.002062225,-0.02516446,0.03340306,-0.002062225,-0.02516446,-0.1308289,0.01885986,0.9912109,-0.1308289,0.01885986,0.9912109,True,True,True
1516120,63736043273346,61.00484,8.118292,-34.9265,0.03851706,-0.1789566,-0.02257574,0.9828435,-0.0002926025,-0.0007369691,-0.02670661,-0.1294861,0.01028442,0.9915161,0.03340012,-0.002024414,-0.02524518,0.03340012,-0.002024414,-0.02524518,-0.1331787,0.01257324,0.9909973,-0.1331787,0.01257324,0.9909973,True,True,True
1516137,63736043273346,61.00484,8.118292,-34.9265,0.03851706,-0.1789566,-0.02257574,0.9828435,-0.003805268,-0.00059581,-0.02685811,-0.1288757,0.01123047,0.9915924,0.03339845,-0.001996689,-0.02530219,0.03339845,-0.001996689,-0.02530219,-0.1323395,0.01545715,0.9910736,-0.1323395,0.01545715,0.9910736,True,True,True
1516154,63736043273366,61.00497,8.118158,-34.92649,0.03899861,-0.1782932,-0.02225283,0.9829525,-0.004205155,-0.0005925446,-0.02679776,-0.1269684,0.01802063,0.9917297,0.03339774,-0.001998352,-0.02528508,0.03339774,-0.001998352,-0.02528508,-0.1295776,0.0214386,0.991333,-0.1295776,0.0214386,0.991333,True,True,True
1516162,63736043273381,61.00502,8.118153,-34.92648,0.03930979,-0.1777673,-0.02200264,0.9830409,-0.001628082,-0.0006859436,-0.02668588,-0.1232452,0.01603699,0.9922333,0.03339702,-0.001997833,-0.02526798,0.03339702,-0.001997833,-0.02526798,-0.1268005,0.02272034,0.9916534,-0.1268005,0.02272034,0.9916534,True,True,True
1516187,63736043273404,61.00505,8.118115,-34.92652,0.04010413,-0.176556,-0.02140883,0.9832402,-0.00328566,-0.0006146851,-0.02677493,-0.1239014,0.01667786,0.9921417,0.03339714,-0.001998917,-0.0252672,0.03339714,-0.001998917,-0.0252672,-0.1250458,0.02503967,0.9918213,-0.1250458,0.02503967,0.9918213,True,True,True
1516195,63736043273421,61.00534,8.118087,-34.92651,0.04103958,-0.1747771,-0.02091169,0.9835301,-0.004889343,-0.000544571,-0.0268638,-0.1246948,0.01704407,0.9920349,0.03339725,-0.002000015,-0.02526642,0.03339725,-0.002000015,-0.02526642,-0.1233063,0.02737427,0.9919891,-0.1233063,0.02737427,0.9919891,True,True,True
1516220,63736043273448,61.00568,8.118068,-34.9264,0.04166685,-0.1730324,-0.02049571,0.9838209,-0.004857178,-0.0005409088,-0.02686664,-0.125061,0.01725769,0.9919891,0.03339833,-0.002000015,-0.02523938,0.03339833,-0.002000015,-0.02523938,-0.1231689,0.02589417,0.9920349,-0.1231689,0.02589417,0.9920349,True,True,True
1516254,63736043273490,61.00638,8.118087,-34.92608,0.04240038,-0.1684099,-0.02058402,0.9845896,-0.002004914,-0.0006096649,-0.02679714,-0.1277313,0.02571106,0.9914703,0.03341796,-0.001974472,-0.0252608,0.03341796,-0.001974472,-0.0252608,-0.1267853,0.03468323,0.9913177,-0.1267853,0.03468323,0.9913177,True,True,True
1516279,63736043273490,61.00638,8.118087,-34.92608,0.04240038,-0.1684099,-0.02058402,0.9845896,0.002716995,-0.0007804261,-0.02662461,-0.1306305,0.03024292,0.9909668,0.03342488,-0.001972458,-0.02526773,0.03342488,-0.001972458,-0.02526773,-0.1309967,0.04006958,0.9905701,-0.1309967,0.04006958,0.9905701,True,True,True
1516295,63736043273511,61.00682,8.11793,-34.92599,0.04318374,-0.1660075,-0.02094108,0.9849559,0.003506485,-0.0008082428,-0.02660275,-0.1336212,0.03276062,0.9904785,0.03342798,-0.001974564,-0.02526363,0.03342798,-0.001974564,-0.02526363,-0.1321869,0.03967285,0.9904175,-0.1321869,0.03967285,0.9904175,True,True,True
1516304,63736043273535,61.00732,8.117756,-34.92583,0.04425918,-0.1636193,-0.02121518,0.9853019,0.00183754,-0.0007461396,-0.02666875,-0.1335449,0.0280304,0.9906311,0.0334339,-0.00197731,-0.02525989,0.0334339,-0.00197731,-0.02525989,-0.1347351,0.03675842,0.9901886,-0.1347351,0.03675842,0.9901886,True,True,True
1516320,63736043273535,61.00732,8.117756,-34.92583,0.04425918,-0.1636193,-0.02121518,0.9853019,0.002542862,-0.000771286,-0.02664668,-0.1415253,0.03363037,0.9893494,0.03346781,-0.001977158,-0.02527393,0.03346781,-0.001977158,-0.02527393,-0.1426392,0.03935242,0.9889832,-0.1426392,0.03935242,0.9889832,True,True,True
1516329,63736043273569,61.00807,8.117339,-34.92569,0.04690174,-0.159941,-0.02250725,0.9857548,0.003378037,-0.0008083954,-0.02659346,-0.1424713,0.03421021,0.9891968,0.03348096,-0.001975006,-0.02527852,0.03348096,-0.001975006,-0.02527852,-0.1456604,0.04020691,0.9885101,-0.1456604,0.04020691,0.9885101,True,True,True
1516354,63736043273569,61.00807,8.117339,-34.92569,0.04690174,-0.159941,-0.02250725,0.9857548,0.002512894,-0.0007804261,-0.02659126,-0.1455994,0.04034424,0.9885101,0.03351569,-0.001985397,-0.02521315,0.03351569,-0.001985397,-0.02521315,-0.1488037,0.04663086,0.9877625,-0.1488037,0.04663086,0.9877625,True,True,True
1516370,63736043273588,61.00857,8.116793,-34.92571,0.05056892,-0.1560943,-0.02514615,0.9861263,-0.0004264984,-0.0006567078,-0.02672833,-0.1481018,0.03991699,0.9881592,0.03354242,-0.001963547,-0.02524652,0.03354242,-0.001963547,-0.02524652,-0.1529846,0.0435791,0.9872589,-0.1529846,0.0435791,0.9872589,True,True,True
1516387,63736043273602,61.00857,8.116793,-34.92571,0.05056892,-0.1560943,-0.02514615,0.9861263,-0.002900894,-0.0005415955,-0.02686829,-0.1578827,0.03405762,0.9868622,0.03355846,-0.001940827,-0.02529251,0.03355846,-0.001940827,-0.02529251,-0.157547,0.04124451,0.9866486,-0.157547,0.04124451,0.9866486,True,True,True
