OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valB,valL,valR
297558,63735952782333,0.1019347,1.618493,0.07709691,0.003896316,0.9875573,-0.1572115,0.0001812706,0.01997653,0.002967453,-0.0330304,-0.03144836,-0.2016449,0.9789429,0.03082884,0.003218628,-0.03337445,0.03082884,0.003218628,-0.03337445,-0.03001404,-0.2011108,0.9790955,-0.03001404,-0.2011108,0.9790955,True,True,True
297583,63735952782350,-46.34342,2.128849,1.152259,0.003787962,0.987349,-0.1585024,0.002154744,0.02147278,0.002938217,-0.03321018,0.004516602,-0.1972961,0.9803314,0.03072716,0.003138992,-0.03350159,0.03072716,0.003138992,-0.03350159,0.008422852,-0.1944885,0.9808655,0.008422852,-0.1944885,0.9808655,True,True,True
297592,63735952782361,-67.50104,2.361363,1.642038,0.003537033,0.9872148,-0.1593273,0.003042911,-0.006917756,0.002462357,-0.03317433,0.04382324,-0.2536926,0.9662781,0.03031961,0.003607025,-0.03555696,0.03031961,0.003607025,-0.03555696,0.0480957,-0.2467804,0.967865,0.0480957,-0.2467804,0.967865,True,True,True
297617,63735952782373,-102.8947,2.75024,2.461233,0.002938637,0.9869501,-0.1609382,0.004453333,-0.02126469,0.001842575,-0.03274071,0.1927948,-0.3355103,0.9220886,0.02924039,0.003406357,-0.03628148,0.02924039,0.003406357,-0.03628148,0.245285,-0.3360291,0.9093323,0.245285,-0.3360291,0.9093323,True,True,True
297625,63735952782395,-103.5798,2.757638,2.47682,0.002567186,0.9868286,-0.161669,0.005083032,0.001063736,0.002299515,-0.03373572,0.2352142,-0.3441467,0.9089661,0.02908653,0.002979599,-0.03498903,0.02908653,0.002979599,-0.03498903,0.2686615,-0.3404236,0.901062,0.2686615,-0.3404236,0.901062,True,True,True
297642,63735952782406,-103.5805,2.757475,2.476444,0.002337856,0.9867127,-0.1623622,0.005583508,0.0009994202,0.002390442,-0.03410111,0.2415924,-0.3392944,0.9091187,0.02904816,0.003139969,-0.03554926,0.02904816,0.003139969,-0.03554926,0.2812042,-0.3332825,0.8999023,0.2812042,-0.3332825,0.8999023,True,True,True
297667,63735952782428,-103.5816,2.75724,2.475739,0.001777975,0.9865072,-0.1635973,0.006025216,0.0009661255,0.002416397,-0.03411607,0.2431488,-0.3359985,0.9099274,0.02903661,0.003216843,-0.03573714,0.02903661,0.003216843,-0.03573714,0.2866364,-0.3350067,0.8975372,0.2866364,-0.3350067,0.8975372,True,True,True
297675,63735952782440,-103.5821,2.757119,2.47542,0.001445488,0.9864215,-0.1641159,0.006043602,0.0009602204,0.002416168,-0.0340994,0.242981,-0.3405151,0.9082794,0.02903711,0.003202591,-0.03566566,0.02903711,0.003202591,-0.03566566,0.2877502,-0.3330688,0.8979034,0.2877502,-0.3330688,0.8979034,True,True,True
297692,63735952782462,-103.5832,2.756857,2.4748,0.0007024528,0.9862188,-0.1653541,0.005487843,-0.02447665,0.001766983,-0.03286159,0.1993713,-0.3425293,0.9180908,0.02903145,0.003172882,-0.03547299,0.02903145,0.003172882,-0.03547299,0.2955475,-0.3271179,0.8975677,0.2955475,-0.3271179,0.8975677,True,True,True
297700,63735952782473,-103.5838,2.756693,2.474483,0.0002508365,0.9861118,-0.1660091,0.004960982,-0.02715979,0.001714218,-0.03278714,0.1900177,-0.3490295,0.9176331,0.02903253,0.003157288,-0.03539987,0.02903253,0.003157288,-0.03539987,0.2907257,-0.3198547,0.9017487,0.2907257,-0.3198547,0.9017487,True,True,True
297717,63735952782484,-103.5844,2.756577,2.474158,1.355548E-05,0.9859831,-0.1667933,0.004172534,-0.02562404,0.001744141,-0.03281371,0.1978302,-0.3430634,0.9182281,0.02903331,0.003154877,-0.03537351,0.02903331,0.003154877,-0.03537351,0.2949524,-0.3218536,0.8996582,0.2949524,-0.3218536,0.8996582,True,True,True
297733,63735952782507,-103.5857,2.756269,2.473698,-0.0008839964,0.9857379,-0.1682708,0.002217772,-0.01480051,0.002002228,-0.03322527,0.2196655,-0.3381195,0.9151001,0.02903253,0.003152466,-0.03534714,0.02903253,0.003152466,-0.03534714,0.2985535,-0.3220825,0.8983917,0.2985535,-0.3220825,0.8983917,True,True,True
297750,63735952782518,-103.5862,2.756134,2.473511,-0.001590421,0.9856358,-0.1688749,0.0008892675,-0.01259349,0.002055664,-0.03328278,0.2150269,-0.3373871,0.9164734,0.02903244,0.003147278,-0.03531836,0.02903244,0.003147278,-0.03531836,0.2981262,-0.3222351,0.8984833,0.2981262,-0.3222351,0.8984833,True,True,True
297783,63735952782540,-103.5875,2.755988,2.473151,-0.002905431,0.9854417,-0.1699789,-0.001818518,-0.004647522,0.002304581,-0.03368288,0.2308044,-0.3288727,0.9157257,0.02905998,0.003185684,-0.03528627,0.02905998,0.003185684,-0.03528627,0.2957916,-0.3159332,0.9014893,0.2957916,-0.3159332,0.9014893,True,True,True
297792,63735952782550,-103.588,2.755877,2.472999,-0.003464771,0.9853598,-0.1704202,-0.003311448,-0.002491196,0.002368225,-0.0337706,0.2348633,-0.3297729,0.9143677,0.0290706,0.003211411,-0.03534272,0.0290706,0.003211411,-0.03534272,0.2940521,-0.3178101,0.9013977,0.2940521,-0.3178101,0.9013977,True,True,True
297800,63735952782572,-103.5893,2.755643,2.472683,-0.00438488,0.9852198,-0.1711084,-0.006689282,0.0009024811,0.002472534,-0.033978,0.2412262,-0.327774,0.9134216,0.02907721,0.003234253,-0.0354113,0.02907721,0.003234253,-0.0354113,0.2943878,-0.3166199,0.9017029,0.2943878,-0.3166199,0.9017029,True,True,True
297825,63735952782583,-103.5898,2.755555,2.472607,-0.004700427,0.9851508,-0.1714268,-0.008293604,0.00208577,0.002575119,-0.03420072,0.2394104,-0.3280029,0.9138184,0.02912616,0.003318939,-0.03563932,0.02912616,0.003318939,-0.03563932,0.2924652,-0.3178253,0.9019012,0.2924652,-0.3178253,0.9019012,True,True,True
297833,63735952782605,-103.591,2.755426,2.47254,-0.005188924,0.9850131,-0.1720082,-0.01164088,0.002703552,0.002596131,-0.0342186,0.2412415,-0.3222351,0.91539,0.02913528,0.003306229,-0.03557514,0.02913528,0.003306229,-0.03557514,0.2929688,-0.312561,0.9035797,0.2929688,-0.312561,0.9035797,True,True,True
297858,63735952782617,-103.5916,2.755329,2.472429,-0.005425308,0.9849221,-0.1723906,-0.01344046,0.0002247467,0.002531387,-0.0340887,0.2270966,-0.3203583,0.9196625,0.02920189,0.003354599,-0.03575746,0.02920189,0.003354599,-0.03575746,0.2855377,-0.3110962,0.9064484,0.2855377,-0.3110962,0.9064484,True,True,True
