OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valB,valL,valR
694047,63735953178821,0.06917524,1.631299,0.3264192,-0.02616075,0.9818506,-0.1307207,-0.1348972,-0.001,-0.001,-0.001,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False
694056,63735953178834,0.06937826,1.631175,0.3260046,-0.02625584,0.9823183,-0.1303843,-0.1317622,-0.001,-0.001,-0.001,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False
694081,63735953178856,-15.73109,6.332955,-33.96879,-0.02615874,0.9828551,-0.1298414,-0.1282683,-0.001,-0.001,-0.001,1,-1,-1,0.03238286,0.003994034,-0.03116941,0.03238286,0.003994034,-0.03116941,-0.2653046,-0.197052,0.9438019,-0.2653046,-0.197052,0.9438019,False,True,True
694106,63735953178867,-21.44666,8.033811,-46.37458,-0.02616221,0.9831674,-0.1294317,-0.1262732,-0.001,-0.001,-0.001,1,-1,-1,0.03249832,0.004357315,-0.03324159,0.03249832,0.004357315,-0.03324159,-0.3007507,-0.1087341,0.9474792,-0.3007507,-0.1087341,0.9474792,False,True,True
694114,63735953178888,-22.16754,8.248638,-47.94092,-0.02547096,0.9838318,-0.1283875,-0.1222408,-0.001,-0.001,-0.001,1,-1,-1,0.03254453,0.004316406,-0.03314182,0.03254453,0.004316406,-0.03314182,-0.3132477,-0.08979797,0.9454041,-0.3132477,-0.08979797,0.9454041,False,True,True
694139,63735953178899,-22.16712,8.248742,-47.94127,-0.02531001,0.9842337,-0.1275603,-0.1198828,-0.001,-0.001,-0.001,1,-1,-1,0.03253192,0.00393956,-0.03195209,0.03253192,0.00393956,-0.03195209,-0.3152466,-0.06971741,0.9464417,-0.3152466,-0.06971741,0.9464417,False,True,True
694147,63735953178921,-22.16639,8.249102,-47.94189,-0.02511505,0.9851263,-0.1256036,-0.1145387,-0.001,-0.001,-0.001,1,-1,-1,0.03258276,0.004117996,-0.03278275,0.03258276,0.004117996,-0.03278275,-0.2789917,-0.08396912,0.956604,-0.2789917,-0.08396912,0.956604,False,True,True
694172,63735953178933,-22.16604,8.249273,-47.94228,-0.02490325,0.9855955,-0.1245757,-0.1116345,0.004260788,0.003040116,-0.03188658,-0.2856445,-0.05799866,0.9565735,0.03258428,0.004267151,-0.03340222,0.03258428,0.004267151,-0.03340222,-0.2844391,-0.0619812,0.9566803,-0.2844391,-0.0619812,0.9566803,True,True,True
694181,63735953178944,-22.1657,8.249414,-47.94275,-0.02448412,0.9860924,-0.123442,-0.1085565,0.03258308,0.004305725,-0.0335493,-0.2807922,-0.06304932,0.9576874,0.03258308,0.004305725,-0.0335493,0.03258308,0.004305725,-0.0335493,-0.2807922,-0.06304932,0.9576874,-0.2807922,-0.06304932,0.9576874,True,True,True
694197,63735953178967,-22.16493,8.249856,-47.94381,-0.02353003,0.9870893,-0.1210151,-0.1022567,0.03252832,0.004351242,-0.0337616,-0.280838,-0.05905151,0.9579315,0.03256416,0.004352799,-0.03376355,0.03256416,0.004352799,-0.03376355,-0.280838,-0.05905151,0.9579315,-0.280838,-0.05905151,0.9579315,True,True,True
694214,63735953178977,-22.16465,8.250056,-47.94432,-0.02292898,0.9876322,-0.1195196,-0.09885409,0.03253348,0.004361405,-0.03384714,-0.2678833,-0.05793762,0.9617004,0.03253525,0.004361481,-0.03384726,0.03253525,0.004361481,-0.03384726,-0.2678833,-0.05793762,0.9617004,-0.2678833,-0.05793762,0.9617004,True,True,True
694222,63735953178999,-22.1642,8.25041,-47.94538,-0.02166984,0.9886207,-0.1173902,-0.09153744,0.03239157,0.004348374,-0.03385379,-0.2649231,-0.06045532,0.9623566,0.03252257,0.004354447,-0.03386224,0.03252257,0.004354447,-0.03386224,-0.2649078,-0.0604248,0.9623718,-0.2649078,-0.0604248,0.9623718,True,True,True
694239,63735953179010,-22.16393,8.250611,-47.94596,-0.02122302,0.9890705,-0.1163279,-0.08807437,0.03235625,0.004415894,-0.03418056,-0.2605896,-0.05949402,0.9636078,0.0324943,0.004422348,-0.03418997,0.0324943,0.004422348,-0.03418997,-0.2605896,-0.0594635,0.9636078,-0.2605896,-0.0594635,0.9636078,True,True,True
694256,63735953179033,-22.1634,8.250994,-47.94725,-0.02029597,0.9899316,-0.1143743,-0.0808833,0.03210321,0.004186768,-0.03329529,-0.2380371,-0.07441711,0.9683838,0.03249785,0.004203415,-0.03331449,0.03249785,0.004203415,-0.03331449,-0.2378998,-0.07434082,0.9684296,-0.2378998,-0.07434082,0.9684296,True,True,True
694281,63735953179065,-22.16284,8.251539,-47.94911,-0.01864729,0.9911053,-0.1115274,-0.07017277,0.03140473,0.00474971,-0.03569011,-0.2024841,-0.07598877,0.9763184,0.03242921,0.004804017,-0.03578452,0.03242921,0.004804017,-0.03578452,-0.201889,-0.07550049,0.9764862,-0.201889,-0.07550049,0.9764862,True,True,True
694314,63735953179076,-22.16268,8.251598,-47.94961,-0.01806254,0.9914563,-0.1105427,-0.06684687,0.02682988,0.004475586,-0.03516065,-0.1889191,-0.08123779,0.9786224,0.03230093,0.004758774,-0.03563483,0.03230093,0.004758774,-0.03563483,-0.1858978,-0.08122253,0.9792023,-0.1858978,-0.08122253,0.9792023,True,True,True
694322,63735953179088,-22.16261,8.251858,-47.95016,-0.01751131,0.9917787,-0.1096763,-0.06355781,0.02666269,0.004465622,-0.03514029,-0.1875763,-0.08357239,0.9786835,0.03227197,0.004760575,-0.0356429,0.03227197,0.004760575,-0.0356429,-0.1855469,-0.08406067,0.9790192,-0.1855469,-0.08406067,0.9790192,True,True,True
694339,63735953179110,-22.16229,8.252369,-47.95157,-0.01614043,0.992439,-0.1074151,-0.05715258,0.02775165,0.004554535,-0.03432544,-0.2446442,0.008422852,0.9695587,0.0322709,0.004769867,-0.03463565,0.0322709,0.004769867,-0.03463565,-0.2440491,0.008117676,0.9697113,-0.2440491,0.008117676,0.9697113,True,True,True
694347,63735953179121,-22.16224,8.252614,-47.95221,-0.01557132,0.992765,-0.1060039,-0.05420691,0.03024039,0.004922699,-0.0346817,-0.2473602,0.03352356,0.968338,0.03228644,0.005035034,-0.03487207,0.03228644,0.005035034,-0.03487207,-0.2464905,0.03271484,0.9685822,-0.2464905,0.03271484,0.9685822,True,True,True
694364,63735953179143,-22.16208,8.253004,-47.95362,-0.01418335,0.993313,-0.1037751,-0.04856925,0.03153124,0.005048844,-0.03434613,-0.2440186,0.08071899,0.9664001,0.03225885,0.005087403,-0.03440827,0.03225885,0.005087403,-0.03440827,-0.2436523,0.08047485,0.966507,-0.2436523,0.08047485,0.966507,True,True,True
694381,63735953179154,-22.1622,8.253219,-47.95412,-0.01358867,0.9935338,-0.1029131,-0.04598654,0.0319111,0.00509253,-0.03467445,-0.2307129,0.08027649,0.969696,0.03226114,0.005109421,-0.03469856,0.03226114,0.005109421,-0.03469856,-0.2306061,0.08021545,0.9697266,-0.2306061,0.08021545,0.9697266,True,True,True
694389,63735953179166,-22.16224,8.253349,-47.95469,-0.01305192,0.9937363,-0.1020076,-0.04372969,0.03195729,0.005059647,-0.0345902,-0.2304535,0.08255005,0.9695587,0.03224971,0.00507338,-0.03460896,0.03224971,0.00507338,-0.03460896,-0.2304077,0.08250427,0.969574,-0.2304077,0.08250427,0.969574,True,True,True
694422,63735953179188,-22.16243,8.25352,-47.95562,-0.01205163,0.9940575,-0.1006667,-0.03963168,0.03093073,0.004852463,-0.03407843,-0.2102051,0.07444763,0.9748077,0.03216304,0.004911102,-0.03415868,0.03216304,0.004911102,-0.03415868,-0.2098846,0.07434082,0.974884,-0.2098846,0.07434082,0.974884,True,True,True
694439,63735953179199,-22.16249,8.253708,-47.95603,-0.01155797,0.9942073,-0.09996187,-0.03776094,0.03083766,0.004872772,-0.03420508,-0.1942291,0.05828857,0.9792175,0.03213707,0.004937622,-0.0342984,0.03213707,0.004937622,-0.0342984,-0.1940002,0.05784607,0.9792786,-0.1940002,0.05784607,0.9792786,True,True,True
