OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
1778512,63735851982322,64|Mesh|C|Tunnel.002,111|Mesh|C|BahnsteigdünneMetallschwellen.005,5_Bank (28)
1778562,63735851982339,B_Ebene Bodenplatte ,B_Ebene Bodenplatte ,B_Ebene Bodenplatte 
1778570,63735851982358,None,Cube (4),Cube (4)
1778587,63735851982377,None,Cube (4),Cube (4)
1778604,63735851982401,Cube (4),Cube (4),Cube (4)
1778629,63735851982421,Cube (4),Cube (4),Cube (4)
1778654,63735851982445,Cube (4),Cube (4),Cube (4)
1778670,63735851982466,Cube (4),Cube (4),Cube (4)
1778695,63735851982489,Cube (4),Cube (4),Cube (4)
1778695,63735851982513,Cube (4),Cube (4),Cube (4)
1778754,63735851982534,Cube (4),Cube (4),Cube (4)
1778762,63735851982555,Cube (4),Cube (4),Cube (4)
1778795,63735851982578,Cube (4),Cube (4),Cube (4)
1778812,63735851982600,Cube (4),Cube (4),Cube (4)
1778820,63735851982621,Cube (4),Cube (4),Cube (4)
1778854,63735851982646,Cube (4),Cube (4),Cube (4)
1778870,63735851982666,Cube (4),Cube (4),Cube (4)
1778895,63735851982688,Cube (4),Cube (4),Cube (4)
1778895,63735851982713,Cube (4),Cube (4),Cube (4)
1778920,63735851982733,Cube (4),Cube (4),Cube (4)
1778970,63735851982755,Cube (4),Cube (4),Cube (4)
1778987,63735851982780,Cube (4),Cube (4),Cube (4)
1779012,63735851982800,Cube (4),Cube (4),Cube (4)
1779029,63735851982821,Cube (4),Cube (4),Cube (4)
1779062,63735851982846,Cube (4),Cube (4),Cube (4)
1779070,63735851982867,Cube (4),Cube (4),Cube (4)
1779087,63735851982889,Cube (4),Cube (4),Cube (4)
1779120,63735851982913,Cube (4),Cube (4),Cube (4)
1779129,63735851982925,Cube (4),Cube (4),Cube (4)
1779129,63735851982936,Cube (4),Cube (4),Cube (4)
1779154,63735851982950,Cube (4),Cube (4),Cube (4)
1779162,63735851982962,Cube (4),Cube (4),Cube (4)
1779187,63735851982975,Cube (4),Cube (4),Cube (4)
1779204,63735851982989,Cube (4),Cube (4),Cube (4)
1779204,63735851983001,Cube (4),Cube (4),Cube (4)
1779204,63735851983015,Cube (4),Cube (4),Cube (4)
1779220,63735851983026,Cube (4),Cube (4),Cube (4)
1779254,63735851983036,Cube (4),Cube (4),Cube (4)
1779262,63735851983049,Cube (4),Cube (4),Cube (4)
1779262,63735851983059,Cube (4),Cube (4),Cube (4)
1779279,63735851983070,Cube (4),Cube (4),Cube (4)
1779304,63735851983083,Cube (4),Cube (4),Cube (4)
1779304,63735851983094,Cube (4),Cube (4),Cube (4)
1779320,63735851983106,Cube (4),Cube (4),Cube (4)
1779329,63735851983119,Cube (4),Cube (4),Cube (4)
1779337,63735851983130,Cube (4),Cube (4),Cube (4)
1779337,63735851983141,Cube (4),Cube (4),Cube (4)
1779337,63735851983154,Cube (4),Cube (4),Cube (4)
1779362,63735851983166,Cube (4),Cube (4),Cube (4)
1779395,63735851983179,Cube (4),Cube (6),Cube (4)
1779395,63735851983188,Cube (4),Cube (6),Cube (4)
1779412,63735851983200,Cube (6),Cube (6),Cube (6)
1779420,63735851983213,Cube (6),Cube (6),Cube (6)
1779437,63735851983227,Cube (6),Cube (6),Cube (6)
1779454,63735851983238,Cube (6),Cube (6),Cube (6)
1779462,63735851983251,Cube (6),None,Cube (6)
1779462,63735851983262,Cube (6),None,Cube (6)
1779487,63735851983273,Cube (6),Cube (6),Cube (6)
1779495,63735851983287,Cube (6),Cube (6),Cube (6)
1779520,63735851983299,Cube (6),Cube (6),Cube (6)
1779520,63735851983311,Cube (6),Cube (6),Cube (6)
1779520,63735851983321,Cube (6),Cube (6),Cube (6)
1779537,63735851983332,Cube (6),Cube (6),Cube (6)
1779537,63735851983344,Cube (6),Cube (6),Cube (6)
1779554,63735851983357,Cube (6),Cube (6),Cube (6)
1779587,63735851983367,Cube (6),Cube (6),Cube (6)
1779595,63735851983380,None,Cube (6),Cube (6)
1779595,63735851983391,None,Cube (6),None
1779620,63735851983401,None,None,None
1779629,63735851983415,None,None,None
1779654,63735851983426,None,None,None
1779654,63735851983436,None,None,None
1779662,63735851983449,None,None,None
1779670,63735851983460,None,None,None
1779670,63735851983470,None,None,None
1779670,63735851983483,None,None,None
1779695,63735851983493,None,None,None
1779720,63735851983504,None,None,None
1779720,63735851983517,None,None,None
1779737,63735851983528,None,None,None
1779754,63735851983538,None,Cube (6),None
1779762,63735851983552,None,Cube (6),None
1779762,63735851983564,None,None,None
1779787,63735851983576,None,None,None
1779804,63735851983587,None,Cube (6),None
1779820,63735851983599,None,None,None
1779829,63735851983613,None,None,None
1779829,63735851983624,None,None,None
1779845,63735851983635,Cube (5),Cube (5),Cube (5)
1779854,63735851983648,Cube (5),Cube (5),Cube (5)
1779854,63735851983658,Cube (5),Cube (5),Cube (5)
1779887,63735851983668,Cube (5),Cube (5),Cube (5)
1779895,63735851983682,Cube (5),Cube (5),Cube (5)
1779920,63735851983692,Cube (5),Cube (5),Cube (5)
1779920,63735851983702,Cube (5),Cube (5),Cube (5)
1779929,63735851983716,Cube (5),Cube (5),Cube (5)
1779937,63735851983727,Cube (5),Cube (5),Cube (5)
1779954,63735851983739,Cube (5),Cube (5),Cube (5)
1779954,63735851983752,Cube (5),Cube (5),Cube (5)
1779962,63735851983763,Cube (5),Cube (5),Cube (5)
1779995,63735851983775,Cube (5),Cube (5),Cube (5)
1780004,63735851983788,Cube (5),Cube (5),Cube (5)
1780004,63735851983799,Cube (5),Cube (5),Cube (5)
1780020,63735851983814,Cube (5),Cube (5),Cube (5)
1780037,63735851983826,Cube (5),Cube (5),Cube (5)
1780054,63735851983838,Cube (5),Cube (5),Cube (5)
1780070,63735851983852,Cube (5),Cube (5),Cube (5)
1780078,63735851983863,None,Cube (5),Cube (5)
1780078,63735851983876,None,Cube (5),Cube (5)
1780103,63735851983889,None,Cube (5),None
1780120,63735851983900,None,Cube (5),None
1780128,63735851983915,None,Cube (5),None
1780128,63735851983925,None,Cube (5),None
1780128,63735851983936,None,Cube (5),None
1780153,63735851983950,None,None,None
1780187,63735851983961,None,None,None
1780187,63735851983971,None,None,None
1780195,63735851983985,None,None,None
1780212,63735851983995,None,None,None
1780220,63735851984007,None,None,None
1780220,63735851984020,None,None,None
1780237,63735851984032,None,None,None
1780253,63735851984047,None,None,None
1780262,63735851984057,None,None,None
1780262,63735851984066,None,None,None
1780287,63735851984077,None,None,None
1780295,63735851984089,None,None,None
1780312,63735851984100,None,None,None
1780337,63735851984116,None,None,None
1780337,63735851984126,None,None,None
1780353,63735851984137,None,None,None
1780362,63735851984151,None,None,None
1780362,63735851984160,None,None,None
1780362,63735851984171,None,None,None
1780387,63735851984184,None,None,None
1780387,63735851984194,None,None,None
1780387,63735851984205,None,None,None
1780420,63735851984219,None,None,None
1780453,63735851984230,None,None,None
1780462,63735851984243,None,None,None
1780462,63735851984254,Cube (4),Cube (4),Cube (4)
1780487,63735851984265,Cube (4),Cube (4),Cube (4)
1780487,63735851984278,Cube (4),Cube (4),Cube (4)
1780495,63735851984290,Cube (4),Cube (4),Cube (4)
1780495,63735851984300,Cube (4),Cube (4),Cube (4)
1780520,63735851984313,Cube (4),Cube (4),Cube (4)
1780537,63735851984324,Cube (4),Cube (4),Cube (4)
1780553,63735851984336,Cube (4),Cube (4),Cube (4)
1780562,63735851984350,Cube (4),Cube (4),Cube (4)
1780562,63735851984361,Cube (4),Cube (4),Cube (4)
1780587,63735851984373,Cube (4),Cube (4),Cube (4)
1780595,63735851984387,Cube (4),Cube (4),Cube (4)
1780620,63735851984398,Cube (4),Cube (4),Cube (4)
1780628,63735851984413,Cube (4),Cube (4),Cube (4)
1780628,63735851984424,Cube (4),Cube (4),Cube (4)
1780653,63735851984436,Cube (4),Cube (4),Cube (4)
1780662,63735851984451,Cube (4),Cube (4),Cube (4)
1780670,63735851984462,Cube (4),Cube (4),Cube (4)
1780670,63735851984476,Cube (4),Cube (4),Cube (4)
1780687,63735851984490,Cube (4),Cube (4),Cube (4)
1780712,63735851984502,Cube (4),Cube (4),Cube (4)
1780728,63735851984517,Cube (4),Cube (4),Cube (4)
1780745,63735851984528,Cube (4),Cube (4),Cube (4)
1780753,63735851984543,Cube (4),Cube (4),Cube (4)
1780753,63735851984554,Cube (4),Cube (4),Cube (4)
1780770,63735851984566,Cube (4),Cube (4),Cube (4)
1780787,63735851984580,Cube (4),Cube (4),Cube (4)
1780795,63735851984591,Cube (4),Cube (4),Cube (4)
1780795,63735851984602,Cube (4),Cube (4),Cube (4)
1780795,63735851984615,Cube (4),Cube (4),Cube (4)
1780820,63735851984627,Cube (4),Cube (4),Cube (4)
1780853,63735851984638,Cube (4),Cube (4),Cube (4)
1780862,63735851984652,Cube (4),Cube (4),Cube (4)
1780887,63735851984665,Cube (4),Cube (4),Cube (4)
1780895,63735851984680,Cube (4),Cube (4),Cube (4)
1780895,63735851984691,Cube (4),Cube (4),Cube (4)
1780920,63735851984702,Cube (4),Cube (4),Cube (4)
1780928,63735851984715,Cube (4),Cube (4),Cube (4)
1780928,63735851984725,Cube (4),Cube (4),Cube (4)
1780945,63735851984737,Cube (4),Cube (4),Cube (4)
1780953,63735851984752,Cube (4),Cube (4),Cube (4)
1780970,63735851984765,Cube (4),Cube (4),Cube (4)
1780987,63735851984778,Cube (4),Cube (4),Cube (4)
1781003,63735851984790,Cube (4),Cube (4),Cube (4)
1781003,63735851984801,Cube (4),Cube (4),Cube (4)
1781003,63735851984816,Cube (4),Cube (4),Cube (4)
1781028,63735851984827,Cube (4),Cube (4),Cube (4)
1781062,63735851984840,Cube (4),Cube (4),Cube (4)
1781070,63735851984854,Cube (4),Cube (4),Cube (4)
1781070,63735851984865,Cube (4),Cube (4),Cube (4)
1781103,63735851984882,Cube (4),Cube (4),Cube (4)
1781103,63735851984894,Cube (4),Cube (4),Cube (4)
1781120,63735851984908,Cube (4),Cube (4),Cube (4)
1781145,63735851984921,Cube (4),Cube (4),Cube (4)
1781153,63735851984932,Cube (4),Cube (4),Cube (4)
1781162,63735851984947,Cube (4),Cube (4),Cube (4)
1781162,63735851984958,Cube (4),Cube (4),Cube (4)
1781178,63735851984970,Cube (4),Cube (4),Cube (4)
1781195,63735851984984,Cube (4),Cube (4),Cube (4)
1781220,63735851984995,B_Ebene Bodenplatte ,Cube (4),Cube (4)
1781220,63735851985009,B_Ebene Bodenplatte ,Cube (4),Cube (4)
1781228,63735851985022,B_Ebene Bodenplatte ,B_Ebene Bodenplatte ,Cube (4)
1781237,63735851985033,Cube (4),B_Ebene Bodenplatte ,Cube (4)
1781253,63735851985048,B_Ebene Bodenplatte ,Cube (4),Cube (4)
1781253,63735851985065,B_Ebene Bodenplatte ,Cube (4),Cube (4)
1781287,63735851985078,B_Ebene Bodenplatte ,B_Ebene Bodenplatte ,Cube (4)
1781287,63735851985095,B_Ebene Bodenplatte ,B_Ebene Bodenplatte ,Cube (4)
1781312,63735851985111,B_Ebene Bodenplatte ,B_Ebene Bodenplatte ,B_Ebene Bodenplatte 
